tpep_pickup_datetime,passenger_demand,taxi_demand
2025-01-01 00:00:00,9132,7344
2025-01-01 01:00:00,8996,8468
2025-01-01 02:00:00,7364,7257
2025-01-01 03:00:00,4904,4915
2025-01-01 04:00:00,3015,2918
2025-01-01 05:00:00,1305,1429
2025-01-01 06:00:00,1165,1220
2025-01-01 07:00:00,1191,1116
2025-01-01 08:00:00,1315,1116
2025-01-01 09:00:00,1923,1524
2025-01-01 10:00:00,3117,2289
2025-01-01 11:00:00,4201,3228
2025-01-01 12:00:00,5503,4087
2025-01-01 13:00:00,6571,4770
2025-01-01 14:00:00,7069,5057
2025-01-01 15:00:00,7128,5025
2025-01-01 16:00:00,6639,4587
2025-01-01 17:00:00,6775,4737
2025-01-01 18:00:00,6179,4317
2025-01-01 19:00:00,5367,3717
2025-01-01 20:00:00,4788,3331
2025-01-01 21:00:00,4767,3264
2025-01-01 22:00:00,3894,2707
2025-01-01 23:00:00,2370,1765
2025-01-02 00:00:00,1344,1051
2025-01-02 01:00:00,558,436
2025-01-02 02:00:00,295,268
2025-01-02 03:00:00,303,220
2025-01-02 04:00:00,342,277
2025-01-02 05:00:00,726,624
2025-01-02 06:00:00,1588,1341
2025-01-02 07:00:00,2468,2163
2025-01-02 08:00:00,3599,3021
2025-01-02 09:00:00,4668,3779
2025-01-02 10:00:00,5992,4394
2025-01-02 11:00:00,6653,4825
2025-01-02 12:00:00,7320,5280
2025-01-02 13:00:00,8294,5972
2025-01-02 14:00:00,8856,6344
2025-01-02 15:00:00,8819,6174
2025-01-02 16:00:00,9371,6537
2025-01-02 17:00:00,8759,6288
2025-01-02 18:00:00,8179,5853
2025-01-02 19:00:00,6734,4754
2025-01-02 20:00:00,6241,4258
2025-01-02 21:00:00,7087,4743
2025-01-02 22:00:00,5612,3792
2025-01-02 23:00:00,3379,2438
2025-01-03 00:00:00,2003,1527
2025-01-03 01:00:00,1034,851
2025-01-03 02:00:00,639,506
2025-01-03 03:00:00,432,349
2025-01-03 04:00:00,370,327
2025-01-03 05:00:00,663,551
2025-01-03 06:00:00,1377,1237
2025-01-03 07:00:00,2499,2165
2025-01-03 08:00:00,3481,2901
2025-01-03 09:00:00,4640,3679
2025-01-03 10:00:00,6069,4526
2025-01-03 11:00:00,6763,5024
2025-01-03 12:00:00,7076,5305
2025-01-03 13:00:00,7725,5626
2025-01-03 14:00:00,9028,6457
2025-01-03 15:00:00,9074,6420
2025-01-03 16:00:00,9214,6528
2025-01-03 17:00:00,9077,6481
2025-01-03 18:00:00,9083,6422
2025-01-03 19:00:00,7910,5538
2025-01-03 20:00:00,6887,4705
2025-01-03 21:00:00,7719,5184
2025-01-03 22:00:00,7711,5195
2025-01-03 23:00:00,5121,3746
2025-01-04 00:00:00,4189,3168
2025-01-04 01:00:00,2868,2193
2025-01-04 02:00:00,1866,1438
2025-01-04 03:00:00,1273,1002
2025-01-04 04:00:00,599,503
2025-01-04 05:00:00,488,391
2025-01-04 06:00:00,885,728
2025-01-04 07:00:00,1421,1132
2025-01-04 08:00:00,2299,1768
2025-01-04 09:00:00,3852,2935
2025-01-04 10:00:00,5871,4233
2025-01-04 11:00:00,7161,5110
2025-01-04 12:00:00,8184,5762
2025-01-04 13:00:00,9135,6426
2025-01-04 14:00:00,9110,6390
2025-01-04 15:00:00,10132,6826
2025-01-04 16:00:00,10344,7069
2025-01-04 17:00:00,10104,6984
2025-01-04 18:00:00,9142,6472
2025-01-04 19:00:00,8778,6144
2025-01-04 20:00:00,7887,5301
2025-01-04 21:00:00,8348,5555
2025-01-04 22:00:00,7996,5402
2025-01-04 23:00:00,6786,4872
2025-01-05 00:00:00,5084,3889
2025-01-05 01:00:00,3738,2823
2025-01-05 02:00:00,2432,1836
2025-01-05 03:00:00,1482,1182
2025-01-05 04:00:00,842,718
2025-01-05 05:00:00,555,453
2025-01-05 06:00:00,879,760
2025-01-05 07:00:00,1490,1196
2025-01-05 08:00:00,2318,1785
2025-01-05 09:00:00,3697,2788
2025-01-05 10:00:00,5284,3923
2025-01-05 11:00:00,6454,4730
2025-01-05 12:00:00,7016,5209
2025-01-05 13:00:00,7653,5523
2025-01-05 14:00:00,7653,5536
2025-01-05 15:00:00,8275,5840
2025-01-05 16:00:00,8171,5890
2025-01-05 17:00:00,7634,5505
2025-01-05 18:00:00,6758,4910
2025-01-05 19:00:00,5704,4068
2025-01-05 20:00:00,5069,3661
2025-01-05 21:00:00,4389,3234
2025-01-05 22:00:00,3156,2381
2025-01-05 23:00:00,2321,1784
2025-01-06 00:00:00,1455,1125
2025-01-06 01:00:00,590,480
2025-01-06 02:00:00,324,253
2025-01-06 03:00:00,240,194
2025-01-06 04:00:00,252,215
2025-01-06 05:00:00,744,697
2025-01-06 06:00:00,1730,1678
2025-01-06 07:00:00,3765,3606
2025-01-06 08:00:00,4573,4300
2025-01-06 09:00:00,4717,4161
2025-01-06 10:00:00,5236,4322
2025-01-06 11:00:00,5557,4519
2025-01-06 12:00:00,5991,4793
2025-01-06 13:00:00,5786,4758
2025-01-06 14:00:00,6245,4956
2025-01-06 15:00:00,6766,5351
2025-01-06 16:00:00,6774,5368
2025-01-06 17:00:00,7137,5907
2025-01-06 18:00:00,7058,5872
2025-01-06 19:00:00,5789,4777
2025-01-06 20:00:00,5186,4143
2025-01-06 21:00:00,4977,4012
2025-01-06 22:00:00,3541,2830
2025-01-06 23:00:00,2247,1809
2025-01-07 00:00:00,1459,1142
2025-01-07 01:00:00,587,475
2025-01-07 02:00:00,323,266
2025-01-07 03:00:00,226,178
2025-01-07 04:00:00,263,239
2025-01-07 05:00:00,756,684
2025-01-07 06:00:00,1794,1806
2025-01-07 07:00:00,3932,4019
2025-01-07 08:00:00,5515,5391
2025-01-07 09:00:00,5890,5344
2025-01-07 10:00:00,5625,4905
2025-01-07 11:00:00,6069,5107
2025-01-07 12:00:00,6455,5449
2025-01-07 13:00:00,6319,5281
2025-01-07 14:00:00,7154,5924
2025-01-07 15:00:00,8191,6593
2025-01-07 16:00:00,8462,6836
2025-01-07 17:00:00,8926,7574
2025-01-07 18:00:00,8642,8146
2025-01-07 19:00:00,7043,6341
2025-01-07 20:00:00,6638,6179
2025-01-07 21:00:00,6761,6327
2025-01-07 22:00:00,4462,4050
2025-01-07 23:00:00,2847,2387
2025-01-08 00:00:00,1429,1188
2025-01-08 01:00:00,491,412
2025-01-08 02:00:00,250,214
2025-01-08 03:00:00,250,190
2025-01-08 04:00:00,212,225
2025-01-08 05:00:00,661,651
2025-01-08 06:00:00,1572,1896
2025-01-08 07:00:00,3892,4577
2025-01-08 08:00:00,5470,6203
2025-01-08 09:00:00,5717,5549
2025-01-08 10:00:00,5861,5163
2025-01-08 11:00:00,6224,5414
2025-01-08 12:00:00,6468,5577
2025-01-08 13:00:00,6928,5936
2025-01-08 14:00:00,7590,6448
2025-01-08 15:00:00,8714,7229
2025-01-08 16:00:00,8633,7235
2025-01-08 17:00:00,10099,9215
2025-01-08 18:00:00,10278,9928
2025-01-08 19:00:00,8092,7408
2025-01-08 20:00:00,7452,6942
2025-01-08 21:00:00,7911,7757
2025-01-08 22:00:00,5790,5780
2025-01-08 23:00:00,3012,2760
2025-01-09 00:00:00,1582,1361
2025-01-09 01:00:00,692,580
2025-01-09 02:00:00,383,323
2025-01-09 03:00:00,407,287
2025-01-09 04:00:00,328,326
2025-01-09 05:00:00,649,692
2025-01-09 06:00:00,1739,1912
2025-01-09 07:00:00,4018,4477
2025-01-09 08:00:00,5429,6142
2025-01-09 09:00:00,5880,5737
2025-01-09 10:00:00,6140,5420
2025-01-09 11:00:00,6234,5423
2025-01-09 12:00:00,7026,6010
2025-01-09 13:00:00,7196,6076
2025-01-09 14:00:00,8031,6797
2025-01-09 15:00:00,8930,7498
2025-01-09 16:00:00,8690,7408
2025-01-09 17:00:00,10250,9389
2025-01-09 18:00:00,10421,10100
2025-01-09 19:00:00,8393,7649
2025-01-09 20:00:00,7772,6858
2025-01-09 21:00:00,8561,7706
2025-01-09 22:00:00,6015,5977
2025-01-09 23:00:00,4890,5137
2025-01-10 00:00:00,2486,2210
2025-01-10 01:00:00,1475,1218
2025-01-10 02:00:00,726,588
2025-01-10 03:00:00,401,345
2025-01-10 04:00:00,324,343
2025-01-10 05:00:00,699,767
2025-01-10 06:00:00,1500,1772
2025-01-10 07:00:00,3455,3976
2025-01-10 08:00:00,4606,4932
2025-01-10 09:00:00,4919,4543
2025-01-10 10:00:00,5510,4743
2025-01-10 11:00:00,5881,5042
2025-01-10 12:00:00,6351,5472
2025-01-10 13:00:00,6866,5785
2025-01-10 14:00:00,7390,6232
2025-01-10 15:00:00,8048,6821
2025-01-10 16:00:00,8142,6769
2025-01-10 17:00:00,9190,8079
2025-01-10 18:00:00,9472,8867
2025-01-10 19:00:00,8331,7429
2025-01-10 20:00:00,7498,5970
2025-01-10 21:00:00,8115,6177
2025-01-10 22:00:00,8148,6251
2025-01-10 23:00:00,7160,7163
2025-01-11 00:00:00,5721,6127
2025-01-11 01:00:00,4366,4747
2025-01-11 02:00:00,3057,3165
2025-01-11 03:00:00,2059,1892
2025-01-11 04:00:00,994,1000
2025-01-11 05:00:00,474,489
2025-01-11 06:00:00,795,847
2025-01-11 07:00:00,1445,1378
2025-01-11 08:00:00,2440,2175
2025-01-11 09:00:00,3847,3258
2025-01-11 10:00:00,5211,4202
2025-01-11 11:00:00,6348,5041
2025-01-11 12:00:00,7292,5826
2025-01-11 13:00:00,8104,6437
2025-01-11 14:00:00,7798,6087
2025-01-11 15:00:00,8967,6826
2025-01-11 16:00:00,10099,7728
2025-01-11 17:00:00,9946,7957
2025-01-11 18:00:00,9889,8372
2025-01-11 19:00:00,9582,8118
2025-01-11 20:00:00,8326,6580
2025-01-11 21:00:00,9060,6941
2025-01-11 22:00:00,9139,7647
2025-01-11 23:00:00,8426,9126
2025-01-12 00:00:00,6571,7636
2025-01-12 01:00:00,5309,5941
2025-01-12 02:00:00,3874,4096
2025-01-12 03:00:00,2382,2317
2025-01-12 04:00:00,1202,1372
2025-01-12 05:00:00,571,597
2025-01-12 06:00:00,768,948
2025-01-12 07:00:00,1386,1404
2025-01-12 08:00:00,2398,2268
2025-01-12 09:00:00,3649,3310
2025-01-12 10:00:00,4839,4298
2025-01-12 11:00:00,6083,5177
2025-01-12 12:00:00,7201,6107
2025-01-12 13:00:00,7518,6291
2025-01-12 14:00:00,7671,6371
2025-01-12 15:00:00,7531,6094
2025-01-12 16:00:00,7730,6360
2025-01-12 17:00:00,7730,6665
2025-01-12 18:00:00,7185,6278
2025-01-12 19:00:00,6040,4957
2025-01-12 20:00:00,5432,4549
2025-01-12 21:00:00,4892,4084
2025-01-12 22:00:00,3796,3231
2025-01-12 23:00:00,2478,2159
2025-01-13 00:00:00,1254,1136
2025-01-13 01:00:00,616,539
2025-01-13 02:00:00,320,291
2025-01-13 03:00:00,239,197
2025-01-13 04:00:00,301,343
2025-01-13 05:00:00,673,798
2025-01-13 06:00:00,1724,2093
2025-01-13 07:00:00,3741,4388
2025-01-13 08:00:00,5463,6093
2025-01-13 09:00:00,5359,5247
2025-01-13 10:00:00,5553,4832
2025-01-13 11:00:00,5659,4860
2025-01-13 12:00:00,5966,5149
2025-01-13 13:00:00,6681,5757
2025-01-13 14:00:00,7174,6136
2025-01-13 15:00:00,7827,6761
2025-01-13 16:00:00,7570,6640
2025-01-13 17:00:00,8345,7752
2025-01-13 18:00:00,8134,7742
2025-01-13 19:00:00,6877,6043
2025-01-13 20:00:00,6246,5604
2025-01-13 21:00:00,5844,5599
2025-01-13 22:00:00,4562,4327
2025-01-13 23:00:00,2375,2165
2025-01-14 00:00:00,1179,1029
2025-01-14 01:00:00,550,481
2025-01-14 02:00:00,310,294
2025-01-14 03:00:00,217,210
2025-01-14 04:00:00,276,300
2025-01-14 05:00:00,708,737
